year,month,day,predicted temperature(C)
2024,6,30,32.95094417267216
2024,7,1,32.9707378563296
2024,7,2,33.05094417267216
2024,7,3,32.98115048901472
2024,7,4,32.98115048901472
2024,7,5,32.891563121699846
2024,7,6,32.911356805357286
2024,7,7,32.96135680535728
2024,7,8,33.03115048901473
2024,7,9,33.03115048901473
2024,7,10,33.01135680535729
2024,7,11,32.891563121699846
2024,7,12,32.791563121699845
2024,7,13,32.791563121699845
2024,7,14,32.831150489014725
2024,7,15,32.9207378563296
2024,7,16,32.9707378563296
2024,7,17,32.8707378563296
2024,7,18,32.85094417267216
2024,7,19,32.831150489014725
2024,7,20,32.8707378563296
2024,7,21,32.8707378563296
2024,7,22,32.9707378563296
2024,7,23,32.9707378563296
2024,7,24,32.9707378563296
2024,7,25,32.931150489014726
2024,7,26,32.931150489014726
2024,7,27,32.931150489014726
2024,7,28,32.931150489014726
2024,7,29,32.931150489014726
2024,7,30,32.931150489014726
2024,7,31,32.931150489014726
2024,8,1,32.931150489014726
2024,8,2,32.931150489014726
2024,8,3,33.03115048901473
2024,8,4,33.13115048901473
2024,8,5,33.13115048901473
2024,8,6,33.09156312169985
2024,8,7,33.05197575438497
2024,8,8,33.05197575438497
2024,8,9,33.05197575438497
2024,8,10,33.05197575438497
2024,8,11,33.05197575438497
2024,8,12,32.901975754384964
2024,8,13,32.80197575438497
2024,8,14,32.80197575438497
2024,8,15,32.76135680535728
2024,8,16,32.750944172672156
2024,8,17,32.70094417267216
2024,8,18,32.69053153998704
2024,8,19,32.660325223644485
2024,8,20,32.680118907301924
2024,8,21,32.64991259095935
2024,8,22,32.66970627461679
2024,8,23,32.769706274616794
2024,8,24,32.68949995827423
2024,8,25,32.68949995827423
2024,8,26,32.64991259095935
2024,8,27,32.68949995827423
2024,8,28,32.73949995827424
2024,8,29,32.789499958274234
2024,8,30,32.68949995827423
2024,9,1,32.64991259095935
2024,9,2,32.68949995827423
2024,9,3,32.68949995827423
2024,9,4,32.68949995827423
2024,9,5,32.68949995827423
2024,9,6,32.68949995827423
2024,9,7,32.68949995827423
2024,9,8,32.68949995827423
2024,9,9,32.63949995827423
2024,9,10,32.68949995827423
2024,9,11,32.68949995827423
2024,9,12,32.75929364193168
2024,9,13,32.68949995827423
2024,9,14,32.789499958274234
2024,9,15,32.769706274616794
2024,9,16,32.88949995827423
2024,9,17,32.84991259095935
2024,9,18,32.84991259095935
2024,9,19,32.810325223644476
2024,9,20,32.86032522364447
2024,9,21,32.86032522364447
2024,9,22,32.810325223644476
2024,9,23,32.790531539987036
2024,9,24,32.74053153998704
2024,9,25,32.61032522364448
2024,9,26,32.61032522364448
2024,9,27,32.63011890730192
2024,9,28,32.38949995827423
2024,9,29,32.13949995827423
2024,9,30,32.08949995827423
2024,9,31,32.208262060218864
2024,10,1,32.208262060218864
2024,10,2,32.107230478506054
2024,10,3,32.12702416216349
2024,10,4,32.12702416216349
2024,10,5,32.206198896793246
2024,10,6,32.206198896793246
2024,10,7,32.15619889679325
2024,10,8,32.10619889679325
2024,10,9,32.056198896793255
2024,10,10,32.02599258045068
2024,10,11,31.99578626410812
2024,10,12,31.765579947765556
2024,10,13,31.685373631423
2024,10,14,31.70516731508044
2024,10,15,31.60413573336763
2024,10,16,31.443723100682504
2024,10,17,31.24372310068251
2024,10,18,31.32289783531226
2024,10,19,31.202072569942015
2024,10,20,31.081247304571768
2024,10,21,31.03124730457177
2024,10,22,31.01042203920152
2024,10,23,31.039596773831274
2024,10,24,31.05939045748871
2024,10,25,30.99897782480359
2024,10,26,30.968771508461028
2024,10,27,30.918771508461028
2024,10,28,30.958358875775907
2024,10,29,30.82815255943334
2024,10,30,30.797946243090784
2024,11,1,30.757327294063096
2024,11,2,30.877120977720537
2024,11,3,30.777120977720536
2024,11,4,30.816708345035412
2024,11,5,30.777120977720536
2024,11,6,30.76670834503541
2024,11,7,30.76670834503541
2024,11,8,30.71670834503541
2024,11,9,30.73650202869285
2024,11,10,30.73650202869285
2024,11,11,30.756295712350287
2024,11,12,30.756295712350287
2024,11,13,30.65629571235029
2024,11,14,30.556295712350288
2024,11,15,30.40629571235029
2024,11,16,30.395883079665165
2024,11,17,30.43547044698004
2024,11,18,30.294851497952358
2024,11,19,30.314645181609798
2024,11,20,30.314645181609798
2024,11,21,30.39381991623955
2024,11,22,30.29381991623955
2024,11,23,30.24381991623955
2024,11,24,30.19381991623955
2024,11,25,30.333407283554426
2024,11,26,30.453200967211867
2024,11,27,30.472994650869303
2024,11,28,30.433407283554427
2024,11,29,30.29381991623955
2024,11,30,30.29381991623955
2024,11,31,30.19381991623955
2024,12,1,30.19381991623955
2024,12,2,30.233407283554428
2024,12,3,30.233407283554428
2024,12,4,30.272994650869304
2024,12,5,30.222994650869303
2024,12,6,30.172994650869303
2024,12,7,30.0729946508693
2024,12,8,30.142788334526742
2024,12,9,30.162582018184178
2024,12,10,30.252169385499055
2024,12,11,30.23237570184162
2024,12,12,30.182375701841618
2024,12,13,29.96258201818418
2024,12,14,29.912582018184178
2024,12,15,29.83237570184162
2024,12,16,29.911550436471373
2024,12,17,29.78134412012881
2024,12,18,29.72093148744369
2024,12,19,29.570931487443687
2024,12,20,29.330312538416
2024,12,21,29.469899905730877
2024,12,22,29.529280956703193
2024,12,23,29.848043058647825
2024,12,24,29.908455691332946
2024,12,25,30.008455691332944
2024,12,26,30.029280956703193
2024,12,27,29.989693589388317
2024,12,28,30.15010622207344
2024,12,29,30.110518854758563
2024,12,30,30.110518854758563
2025,1,1,30.03134412012881
2025,1,2,30.03134412012881
2025,1,3,29.931344120128813
2025,1,4,29.881344120128812
2025,1,5,29.83134412012881
2025,1,6,29.870931487443688
2025,1,7,29.790725171101123
2025,1,8,29.710518854758565
2025,1,9,29.710518854758565
2025,1,10,29.75010622207344
2025,1,11,29.789693589388317
2025,1,12,29.789693589388317
2025,1,13,29.889693589388315
2025,1,14,29.889693589388315
2025,1,15,29.939693589388316
2025,1,16,29.95010622207344
2025,1,17,29.95010622207344
2025,1,18,30.030312538416002
2025,1,19,30.010518854758566
2025,1,20,30.110518854758563
2025,1,21,30.17093148744369
2025,1,22,30.17093148744369
2025,1,23,30.23134412012881
2025,1,24,30.19175675281393
2025,1,25,30.19175675281393
2025,1,26,30.152169385499054
2025,1,27,30.152169385499054
2025,1,28,30.152169385499054
2025,1,29,30.152169385499054
2025,1,30,30.152169385499054
2025,1,31,30.152169385499054
2025,2,1,30.152169385499054
2025,2,2,30.252169385499055
2025,2,3,30.252169385499055
2025,2,4,30.352169385499057
2025,2,5,30.31258201818418
2025,2,6,30.412582018184178
2025,2,7,30.472994650869303
2025,2,8,30.622994650869302
2025,2,9,30.633407283554426
2025,2,10,30.79381991623955
2025,2,11,30.834438865267234
